Conversation,SK,UserData,PK,CreatedAt,Feedback
,REGISTER#2025-08-21T16:34:02.225730,"{'nombre': 'Maria pachon', 'gerencia': 'Bogota'}",USER#76fb54a3-b10d-429b-859e-186d312e096e,2025-08-21T16:34:02.225730,
,REGISTER#2025-08-12T15:48:00.300535,"{'nombre': 'Johan', 'gerencia': 'Medellin'}",USER#46a06b25-74c1-4ff4-b3e8-ac2743b2d7ab,2025-08-12T15:48:00.300535,
,REGISTER#2025-08-13T23:51:06.389413,"{'nombre': 'mariana sanchez forero', 'gerencia': 'Bogota'}",USER#8692959f-39f4-4a5d-98a7-5c89df551f3f,2025-08-13T23:51:06.389413,
"[{'from': 'bot', 'text': 'Lo siento, no puedo proporcionar información específica sobre los puntos de atención al ciudadano para trámites de Catastro Bogotá, ya que eso está fuera del alcance de mi conocimiento actual.Sin embargo, puedo ofrecerte información sobre los canales de atención disponibles para realizar trámites catastrales:1. Canal Virtual: La mayoría de los trámites se pueden realizar en línea a través de la plataforma Catastro en Línea.Puedes acceder a ella desde la página oficial de Catastro Bogotá: www.catastrobogota.gov.co2. Canal Telefónico:Existe una línea de atención telefónica para consultas y algunos trámites.3. Canal Presencial:Aunque no puedo proporcionar ubicaciones específicas, Catastro Bogotá ofrece atención presencial en algunos puntos de la ciudad.Para obtener información actualizada y detallada sobre los puntos de atención presencial, horarios y direcciones exactas, te recomiendo visitar la página web oficial de Catastro Bogotá: www.catastrobogota.gov.co.Allí encontrarás la información más reciente sobre los canales de atención disponibles para realizar tus trámites catastrales.¿Hay algún trámite específico sobre el que necesites más información? Puedo ayudarte con los requisitos, documentos necesarios y procedimientos para realizarlo.', 'timestamp': '2025-08-12T11:16:00Z'}]",CONVERSATION#2025-08-12T16:16:00.806982,"{'nombre': '', 'ciudad': ''}",USER#07e04f80-1f6b-4697-a07a-51dcec23396d,2025-08-12T16:16:00.806982,
,FEEDBACK#2025-08-12T16:16:00.806982,"{'nombre': '', 'ciudad': ''}",USER#07e04f80-1f6b-4697-a07a-51dcec23396d,2025-08-12T16:16:00.806982,"{'type': 'dislike', 'option': 'Respuesta incorrecta'}"
,REGISTER#2025-08-12T16:14:25.913888,"{'nombre': 'Diego', 'gerencia': 'Bogota'}",USER#07e04f80-1f6b-4697-a07a-51dcec23396d,2025-08-12T16:14:25.913888,
,REGISTER#2025-08-11T19:58:49.424342,"{'nombre': 'Daniela Lalle Montaña', 'gerencia': 'Bogotá'}",USER#d86ad2dc-3b55-48a8-982f-c579c7c8a115,2025-08-11T19:58:49.424342,
"[{'from': 'user', 'text': 'Hola, necesito imprimir mi impuesto predial que ya lo pague pero lo perdí y necesito pasar mi declaración', 'timestamp': '2025-08-22T15:38:20Z'}, {'from': 'bot', 'text': 'Lo siento, pero la impresión o reimpresión del impuesto predial no es un trámite que se realice directamente a través de Catastro Bogotá. El impuesto predial es gestionado por la Secretaría Distrital de Hacienda de Bogotá, no por la Unidad Administrativa Especial de Catastro Distrital (UAECD).\n\nSin embargo, puedo proporcionarte información sobre algunos trámites relacionados con Catastro Bogotá que podrían ser útiles para tu declaración:\n\n1. Certificado catastral: Este documento contiene información sobre el avalúo catastral de tu predio, que es uno de los factores que se utilizan para calcular el impuesto predial.\n\n2. Certificado de inscripción catastral: Confirma si un predio está inscrito en la base de datos catastral.\n\n3. Revisión de avalúo catastral: Si consideras que el avalúo de tu predio no es correcto, puedes solicitar una revisión.\n\n4. Consulta de información predial: Puedes verificar los datos catastrales de tu predio en línea.\n\n5. Actualización de datos del propietario: Si ha habido cambios en la información del propietario, puedes actualizarla.\n\nPara obtener más información sobre estos y otros trámites relacionados con Catastro Bogotá, te invito a visitar la página web oficial: www.catastrobogota.gov.co\n\nEn cuanto a la reimpresión de tu impuesto predial ya pagado, te sugiero contactar directamente a la Secretaría Distrital de Hacienda de Bogotá, ya que ellos son los encargados de ese trámite específico.', 'timestamp': '2025-08-22T15:38:20Z'}]",CONVERSATION#2025-08-22T20:38:21.072688,"{'nombre': 'Jahir Puentes', 'ciudad': 'Bogota'}",USER#96b17f75-61e5-4ed7-838e-df46751bb6d2,2025-08-22T20:38:21.072688,
,REGISTER#2025-08-22T20:37:23.588199,"{'nombre': 'Jahir Puentes', 'gerencia': 'Bogota'}",USER#96b17f75-61e5-4ed7-838e-df46751bb6d2,2025-08-22T20:37:23.588199,
,REGISTER#2025-08-14T17:30:39.197307,"{'nombre': 'Daniel gamboa', 'gerencia': 'bogota'}",USER#f89c6ee0-0b44-4c53-84af-9a022a95e190,2025-08-14T17:30:39.197307,
"[{'from': 'bot', 'text': 'Lo siento, no puedo proporcionar información específica sobre el lote y manzana de su casa sin más detalles. Para obtener esta información, necesitaría conocer algunos datos de su propiedad. Sin embargo, puedo orientarle sobre cómo puede obtener esta información:\n\n1. Consulta en línea: Puede acceder a la información catastral de su predio a través del portal web de Catastro Bogotá. Para esto, necesitará iniciar sesión en su cuenta de Catastro en Línea (CEL) <a href=""https://www.catastrobogota.gov.co/pregunta"" target=""_blank"" rel=""noopener"">[1]</a>.\n\n2. Solicitud de certificado: Puede solicitar un certificado catastral que incluya la información de lote y manzana de su propiedad. Este trámite se puede realizar en línea o presencialmente en las oficinas de Catastro Distrital <a href=""https://www.catastrobogota.gov.co/pregunta"" target=""_blank"" rel=""noopener"">[1]</a>.\n\n3. Datos necesarios: Para cualquier consulta o trámite relacionado con su predio, generalmente necesitará tener a mano información como el número de matrícula inmobiliaria, el código CHIP (Código Homologado de Identificación Predial) o la dirección exacta del inmueble <a href=""https://www.catastrobogota.gov.co/pregunta"" target=""_blank"" rel=""noopener"">[1]</a>.\n\nSi tiene problemas para acceder a su cuenta en Catastro en Línea o necesita asistencia adicional, puede contactar al soporte técnico de Catastro Distrital a través del correo soportecel@catastrobogota.gov.co <a href=""https://www.catastrobogota.gov.co/pregunta"" target=""_blank"" rel=""noopener"">[1]</a>.\n\n¿Le gustaría que le proporcione más información sobre cómo acceder a estos servicios o realizar algún trámite específico con Catastro Distrital?', 'timestamp': '2025-08-06T21:22:07Z'}]",CONVERSATION#2025-08-07T02:22:07.847386,"{'nombre': 'naomi sánchez', 'ciudad': 'san luis potosí'}",USER#b61b5c7c-68d2-45f1-aabf-8e8d23b509e6,2025-08-07T02:22:07.847386,
,REGISTER#2025-08-07T02:21:18.919443,"{'nombre': 'naomi sánchez', 'gerencia': 'san luis potosí'}",USER#b61b5c7c-68d2-45f1-aabf-8e8d23b509e6,2025-08-07T02:21:18.919443,
,REGISTER#2025-08-04T21:31:36.056442,"{'nombre': 'Juan Fernando García', 'gerencia': 'Bogotá'}",USER#f5279c27-5a83-44f2-8ed6-01e63c1fcdfe,2025-08-04T21:31:36.056442,
,REGISTER#2025-08-12T23:41:20.914225,"{'nombre': 'Claudia Sosa', 'gerencia': 'Bogota'}",USER#cf8e21ff-c1c0-41b2-933a-5c9c8e04a839,2025-08-12T23:41:20.914225,
,REGISTER#2025-08-12T16:41:52.859499,"{'nombre': 'Kelly Gisell Moreno Figueredo', 'gerencia': 'Bogota'}",USER#21fee0dd-ba9a-43f8-a2c4-f8266795fdd1,2025-08-12T16:41:52.859499,
"[{'from': 'user', 'text': 'qué trámites atiende catastro', 'timestamp': '2025-08-15T11:42:03Z'}, {'from': 'bot', 'text': 'Catastro Bogotá ofrece diversos trámites y servicios relacionados con la información predial de la ciudad. Algunos de los principales trámites que atiende Catastro son:\n\n1. Certificado catastral: Documento que contiene la información física, jurídica y económica de un predio  .\n\n2. Actualización de datos del propietario: Permite modificar la información del propietario o poseedor de un inmueble en las bases catastrales  .\n\n3. Revisión de avalúo catastral: Proceso para solicitar la revisión del valor catastral asignado a un predio <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n4. Certificado de nomenclatura: Documento que certifica la dirección oficial de un predio  .\n\n5. Manzanas catastrales: Representación gráfica de los predios que componen una manzana, útil para trámites en curadurías urbanas y otros servicios  .\n\n6. Englobe o desenglobe de predios: Procedimiento para unir o separar predios en el registro catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n7. Incorporación de predios y mejoras: Proceso para incluir nuevos predios o construcciones en la base catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n8. Certificados de vivienda de interés social: Documento que certifica si un inmueble está clasificado como vivienda de interés social  .\n\nPara obtener información más detallada sobre estos y otros trámites disponibles, así como los requisitos específicos, costos y tiempos de respuesta, te recomiendo visitar la página web oficial de Catastro Bogotá: www.catastrobogota.gov.co', 'timestamp': '2025-08-15T11:42:03Z'}]",CONVERSATION#2025-08-15T16:42:03.578595,"{'nombre': 'NATALIA', 'ciudad': 'Bogotá'}",USER#9fa5fb58-167f-4716-9d49-4f9596e6b654,2025-08-15T16:42:03.578595,
"[{'from': 'user', 'text': 'qué trámites puedo hacer en catastro', 'timestamp': '2025-08-15T14:28:27Z'}, {'from': 'bot', 'text': 'Catastro Bogotá ofrece una variedad de trámites y servicios relacionados con la información predial de la ciudad. Algunos de los principales trámites que puedes realizar en Catastro son:\n\n1. Certificado catastral: Puedes solicitar este documento que contiene la información física, jurídica y económica de un predio  .\n\n2. Cambio de nombre del propietario: Si necesitas actualizar el nombre y documento del propietario de un predio o una mejora en las bases catastrales, puedes realizar este trámite a través de la plataforma de Catastro en Línea  .\n\n3. Revisión de avalúo catastral: Si consideras que el valor catastral de tu propiedad necesita ser revisado, puedes solicitar este trámite <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/asignacion-de-nomenclatura"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n4. Certificado de nomenclatura: Puedes obtener un documento que certifica la dirección oficial de un predio  .\n\n5. Englobe o desenglobe de predios: Si necesitas unir o separar predios en el registro catastral, puedes realizar este procedimiento <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/asignacion-de-nomenclatura"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n6. Incorporación de predios y mejoras: Este proceso te permite incluir nuevos predios o construcciones en la base catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/asignacion-de-nomenclatura"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n7. Rectificación de áreas y linderos: Si necesitas corregir la información sobre las dimensiones o límites de tu propiedad, puedes solicitar este trámite <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/asignacion-de-nomenclatura"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n8. Compra de productos cartográficos: Puedes adquirir manzanas catastrales, planos y mapas de Bogotá en formato impreso o digital a través de la tienda virtual de Catastro  <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/manzana-catastral"" target=""_blank"" rel=""noopener"">[6]</a>.\n\nEs importante mencionar que muchos de estos trámites se pueden realizar de forma virtual a través de la plataforma Catastro en Línea, lo que te permite ahorrar tiempo y evitar desplazamientos  . Esta plataforma opera las 24 horas del día, los siete días de la semana, brindando mayor comodidad para realizar tus trámites.\n\nPara obtener información más detallada sobre estos y otros trámites disponibles, así como los requisitos específicos, costos y tiempos de respuesta, te recomiendo visitar la página web oficial de Catastro Bogotá: www.catastrobogota.gov.co', 'timestamp': '2025-08-15T14:28:27Z'}]",CONVERSATION#2025-08-15T19:28:27.925978,"{'nombre': 'NATALIA', 'ciudad': 'Bogotá'}",USER#9fa5fb58-167f-4716-9d49-4f9596e6b654,2025-08-15T19:28:27.925978,
"[{'from': 'user', 'text': '¿qué trámites atiende catastro?', 'timestamp': '2025-08-15T14:31:53Z'}, {'from': 'bot', 'text': 'Catastro Bogotá atiende una variedad de trámites relacionados con la información predial de la ciudad. A continuación, te presento algunos de los principales trámites que puedes realizar en Catastro:\n\n1. Certificados catastrales: Puedes solicitar diferentes tipos de certificados, como el certificado catastral, certificado de inscripción catastral, certificado de no inscripción catastral y certificado de nomenclatura  .\n\n2. Actualización de datos del propietario: Este trámite permite modificar la información del propietario o poseedor de un inmueble en las bases catastrales <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/modernizacion-del-catastro"" target=""_blank"" rel=""noopener"">[3]</a>.\n\n3. Revisión de avalúo catastral: Puedes solicitar la revisión del valor catastral asignado a un predio <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n4. Englobe o desenglobe de predios: Este procedimiento permite unir o separar predios en el registro catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n5. Incorporación de predios y mejoras: Proceso para incluir nuevos predios o construcciones en la base catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n6. Rectificación de áreas y linderos: Trámite para corregir la información sobre las dimensiones o límites de una propiedad <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n7. Compra de productos cartográficos: Puedes adquirir manzanas catastrales, mapas y planos de Bogotá en formato impreso o digital   .\n\n8. Avalúos comerciales: Catastro también ofrece servicios de avalúos comerciales para diferentes propósitos  .\n\nEs importante mencionar que muchos de estos trámites se pueden realizar de forma virtual a través de la plataforma Catastro en Línea, que opera las 24 horas del día, los siete días de la semana  . Esto te permite realizar trámites de manera fácil, rápida y segura sin necesidad de desplazarte.\n\nPara obtener información más detallada sobre estos y otros trámites disponibles, así como los requisitos específicos, costos y tiempos de respuesta, te recomiendo visitar la página web oficial de Catastro Bogotá: www.catastrobogota.gov.co', 'timestamp': '2025-08-15T14:31:53Z'}]",CONVERSATION#2025-08-15T19:31:53.611160,"{'nombre': 'NATALIA', 'ciudad': 'Bogotá'}",USER#9fa5fb58-167f-4716-9d49-4f9596e6b654,2025-08-15T19:31:53.611160,
"[{'from': 'user', 'text': 'cuáles son los trámites de catastro', 'timestamp': '2025-08-15T14:33:19Z'}, {'from': 'bot', 'text': 'Catastro Bogotá ofrece una variedad de trámites relacionados con la información predial de la ciudad. A continuación, te presento los principales trámites que puedes realizar en Catastro:\n\n1. Certificados catastrales: Puedes solicitar diferentes tipos de certificados  <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/certificado-catastral"" target=""_blank"" rel=""noopener"">[20]</a>, como:\n   - Certificado catastral\n   - Certificado de inscripción catastral\n   - Certificado de no inscripción catastral\n   - Certificado de nomenclatura\n\n2. Cambio de nombre del propietario: Este trámite permite actualizar el nombre y documento del propietario de un predio o una mejora en las bases catastrales <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/modernizacion-del-catastro"" target=""_blank"" rel=""noopener"">[3]</a>.\n\n3. Revisión de avalúo catastral: Puedes solicitar la revisión del valor catastral asignado a tu propiedad  .\n\n4. Incorporación, actualización, corrección y modificación cartográfica de levantamientos topográficos: Este trámite permite inscribir o cancelar en las bases de datos catastrales las edificaciones (total o parcial) de un predio, producto de nuevas construcciones, demoliciones o cambios de destino económico  .\n\n5. Englobe o desenglobe de predios: Procedimiento para unir o separar predios en el registro catastral  .\n\n6. Rectificación de áreas y linderos: Trámite para corregir la información sobre las dimensiones o límites de una propiedad  .\n\n7. Compra de productos cartográficos: Puedes adquirir diversos productos como   :\n   - Manzanas catastrales (impresas o digitales)\n   - Mapa General de Bogotá D.C. en diferentes escalas\n   - Planos topográficos\n   - Planos temáticos especiales\n\n8. Avalúos comerciales: Catastro ofrece servicios de avalúos comerciales para diferentes propósitos, incluyendo avalúos de renta y avalúos de referencia  .\n\nEs importante mencionar que muchos de estos trámites se pueden realizar de forma virtual a través de la plataforma Catastro en Línea, que funciona las 24 horas del día, los 7 días de la semana  . Esto te permite realizar trámites de manera fácil, rápida y segura sin necesidad de desplazarte.\n\nPara obtener información más detallada sobre estos y otros trámites disponibles, así como los requisitos específicos, costos y tiempos de respuesta, te recomiendo visitar la página web oficial de Catastro Bogotá: www.catastrobogota.gov.co', 'timestamp': '2025-08-15T14:33:19Z'}]",CONVERSATION#2025-08-15T19:33:20.054167,"{'nombre': 'NATALIA', 'ciudad': 'Bogotá'}",USER#9fa5fb58-167f-4716-9d49-4f9596e6b654,2025-08-15T19:33:20.054167,
"[{'from': 'user', 'text': 'qué trámites atiende catastro', 'timestamp': '2025-08-15T14:36:50Z'}, {'from': 'bot', 'text': 'Catastro Bogotá atiende una variedad de trámites relacionados con la información predial de la ciudad. A continuación, te presento los principales trámites que puedes realizar en Catastro:\n\n1. Certificados catastrales: Puedes solicitar diferentes tipos de certificados, como el certificado catastral, de inscripción catastral, de no inscripción catastral y de nomenclatura  .\n\n2. Actualización de datos del propietario: Este trámite permite modificar la información del propietario o poseedor de un inmueble en las bases catastrales  .\n\n3. Revisión de avalúo catastral: Puedes solicitar la revisión del valor catastral asignado a un predio <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n4. Englobe o desenglobe de predios: Procedimiento para unir o separar predios en el registro catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n5. Incorporación de predios y mejoras: Proceso para incluir nuevos predios o construcciones en la base catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n6. Rectificación de áreas y linderos: Trámite para corregir la información sobre las dimensiones o límites de una propiedad <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/conservacion-catastral"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n7. Compra de productos cartográficos: Puedes adquirir manzanas catastrales, mapas y planos de Bogotá en formato impreso o digital  .\n\n8. Avalúos comerciales: Catastro ofrece servicios de avalúos comerciales para diferentes propósitos, incluyendo avalúos de renta y avalúos de referencia  .\n\nEs importante mencionar que muchos de estos trámites se pueden realizar de forma virtual a través de la plataforma Catastro en Línea. Esta plataforma opera las 24 horas del día, los siete días de la semana, permitiéndote realizar trámites de manera fácil, rápida y segura sin necesidad de desplazarte   .\n\nPara obtener información más detallada sobre estos y otros trámites disponibles, así como los requisitos específicos, costos y tiempos de respuesta, te recomiendo visitar la página web oficial de Catastro Bogotá: www.catastrobogota.gov.co', 'timestamp': '2025-08-15T14:36:50Z'}]",CONVERSATION#2025-08-15T19:36:50.675964,"{'nombre': 'NATALIA', 'ciudad': 'Bogotá'}",USER#9fa5fb58-167f-4716-9d49-4f9596e6b654,2025-08-15T19:36:50.675964,
"[{'from': 'user', 'text': 'trámites', 'timestamp': '2025-08-15T14:37:31Z'}, {'from': 'bot', 'text': 'Entiendo que estás interesado en conocer los trámites que atiende Catastro Bogotá. Te presento una lista de los principales trámites que puedes realizar:\n\n1. Certificados catastrales: Incluyen certificado catastral, de inscripción catastral, de no inscripción catastral y de nomenclatura  .\n\n2. Cambio de nombre del propietario: Permite actualizar la información del propietario o poseedor de un inmueble en las bases catastrales  .\n\n3. Revisión de avalúo catastral: Puedes solicitar que se revise el valor catastral asignado a tu propiedad <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/modernizacion-del-catastro"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n4. Englobe o desenglobe de predios: Procedimiento para unir o separar predios en el registro catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/modernizacion-del-catastro"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n5. Incorporación de predios y mejoras: Proceso para incluir nuevos predios o construcciones en la base catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/modernizacion-del-catastro"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n6. Rectificación de áreas y linderos: Permite corregir la información sobre las dimensiones o límites de una propiedad <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/modernizacion-del-catastro"" target=""_blank"" rel=""noopener"">[15]</a>.\n\n7. Compra de productos cartográficos: Puedes adquirir manzanas catastrales, mapas y planos de Bogotá en formato impreso o digital  .\n\n8. Avalúos comerciales: Catastro ofrece servicios de avalúos comerciales para diferentes propósitos, incluyendo avalúos de renta y avalúos de referencia  .\n\nEs importante destacar que muchos de estos trámites se pueden realizar de forma virtual a través de la plataforma Catastro en Línea. Esta plataforma funciona las 24 horas del día, los 7 días de la semana, lo que te permite realizar trámites de manera fácil, rápida y segura sin necesidad de desplazarte   .\n\nPara obtener información más detallada sobre estos y otros trámites disponibles, así como los requisitos específicos, costos y tiempos de respuesta, te recomiendo visitar la página web oficial de Catastro Bogotá: www.catastrobogota.gov.co', 'timestamp': '2025-08-15T14:37:31Z'}]",CONVERSATION#2025-08-15T19:37:31.613395,"{'nombre': 'NATALIA', 'ciudad': 'Bogotá'}",USER#9fa5fb58-167f-4716-9d49-4f9596e6b654,2025-08-15T19:37:31.613395,
,REGISTER#2025-08-15T16:41:15.212474,"{'nombre': 'NATALIA', 'gerencia': 'Bogotá'}",USER#9fa5fb58-167f-4716-9d49-4f9596e6b654,2025-08-15T16:41:15.212474,
"[{'from': 'user', 'text': 'Buenas tardes', 'timestamp': '2025-08-19T13:26:44Z'}, {'from': 'bot', 'text': 'Buenas tardes. Soy CatIA, el asistente virtual de Catastro Bogotá. ¿En qué puedo ayudarte hoy con información sobre los servicios o trámites de Catastro Distrital?', 'timestamp': '2025-08-19T13:26:44Z'}]",CONVERSATION#2025-08-19T18:26:45.221547,"{'nombre': 'Dora Patiño', 'ciudad': 'bogota'}",USER#0cc29e7b-0725-4582-8c3b-e4b6c662f33a,2025-08-19T18:26:45.221547,
"[{'from': 'user', 'text': 'cancelar cita virtual', 'timestamp': '2025-08-19T13:27:36Z'}, {'from': 'bot', 'text': 'Para cancelar una cita virtual con Catastro Bogotá, puedes seguir estos pasos:\n\n1. Revisa tu correo electrónico: Al momento de agendar tu cita, recibiste un correo de confirmación de la cuenta UAECD_CITA_ORIENTACION_POR_VIDEO_LLAMADA@catastrobogota.gov.co   .\n\n2. Localiza la opción ""Administrar reserva"": En el correo de confirmación, encontrarás una opción llamada ""Administrar reserva""  .\n\n3. Selecciona ""Cancelar"": Al dar clic en ""Administrar reserva"", podrás elegir la opción de cancelar tu cita  .\n\n4. Confirma la cancelación: Sigue las instrucciones que te proporcione el sistema para confirmar la cancelación de tu cita.\n\nAlternativamente, si tienes problemas para encontrar el correo o acceder a la opción de cancelación, puedes:\n\n- Ingresar a la página web de Catastro Bogotá (www.catastrobogota.gov.co) y buscar la sección de ""Agenda a un clic"" para gestionar tu cita  .\n\n- Contactar directamente con el servicio de atención al ciudadano de Catastro Bogotá para solicitar asistencia en la cancelación de tu cita.\n\nRecuerda que es importante cancelar tu cita con anticipación si no podrás asistir, para permitir que otros ciudadanos puedan aprovechar ese espacio.', 'timestamp': '2025-08-19T13:27:36Z'}]",CONVERSATION#2025-08-19T18:27:37.382462,"{'nombre': 'Dora Patiño', 'ciudad': 'bogota'}",USER#0cc29e7b-0725-4582-8c3b-e4b6c662f33a,2025-08-19T18:27:37.382462,
,REGISTER#2025-08-19T18:26:22.202413,"{'nombre': 'Dora Patiño', 'gerencia': 'bogota'}",USER#0cc29e7b-0725-4582-8c3b-e4b6c662f33a,2025-08-19T18:26:22.202413,
,REGISTER#2025-08-12T18:54:08.762737,"{'nombre': 'Felipe Chaparro', 'gerencia': 'Bogota'}",USER#1d9c7e8f-7ed3-4cab-89d3-47fb69199c3f,2025-08-12T18:54:08.762737,
"[{'from': 'user', 'text': 'como realizo un desenglobe de mi predio en propiedad hrizontal', 'timestamp': '2025-08-21T10:55:12Z'}, {'from': 'bot', 'text': 'Para realizar un desenglobe de su predio en propiedad horizontal, debe seguir el trámite de ""Englobe o desenglobe de dos o más predios"" ofrecido por Catastro Bogotá. Este proceso implica el registro de las modificaciones que ocurren en los linderos de los predios por una acción de segregación (desenglobe)  <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/englobe-o-desenglobe-de-dos-o-mas-predios"" target=""_blank"" rel=""noopener"">[2]</a>.\n\nAquí le detallo los pasos a seguir:\n\n1. Trámite: El proceso es semipresencial y no genera costo  .\n\n2. Duración: El trámite tiene una duración de 30 días hábiles  .\n\n3. Procedimiento:\n   a) Inicie el trámite en línea a través de la plataforma de Catastro en Línea (https://catastroenlinea.catastrobogota.gov.co/cel).\n   b) Seleccione la opción ""Englobe o desenglobe de dos o más predios"".\n   c) Proporcione la información requerida sobre su predio, incluyendo el CHIP (Código Homologado de Identificación Predial) o la matrícula inmobiliaria.\n\n4. Documentos requeridos: Aunque no se especifican en los resultados de búsqueda, es probable que necesite presentar documentos que acrediten la propiedad y los planos de la nueva división propuesta.\n\n5. Resultado: Una vez completado el trámite, se registrarán las modificaciones en los linderos de los predios en las bases catastrales <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/englobe-o-desenglobe-de-dos-o-mas-predios"" target=""_blank"" rel=""noopener"">[2]</a>.\n\nEs importante tener en cuenta que este trámite no está condicionado al cambio de propietario o poseedor <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/englobe-o-desenglobe-de-dos-o-mas-predios"" target=""_blank"" rel=""noopener"">[2]</a>.\n\nPara obtener información más detallada y actualizada sobre este trámite, le recomiendo visitar la página oficial de Catastro Bogotá: www.catastrobogota.gov.co, donde encontrará los requisitos específicos y podrá iniciar el proceso en línea.', 'timestamp': '2025-08-21T10:55:12Z'}]",CONVERSATION#2025-08-21T15:55:12.553460,"{'nombre': 'Felipe', 'ciudad': 'Bogotá'}",USER#0e8f1b4e-6498-44a4-bb67-948c6b318e02,2025-08-21T15:55:12.553460,
